Date,Open,High,Low,Close,High_Low_Diff,Volume
26/04/2015,226.410004,226.944,214.873993,219.429993,12.070007,28943700
27/04/2015,219.429001,233.304993,218.022995,229.285995,15.281998,38574000
28/04/2015,228.968994,229.494995,223.069,225.854996,6.425995,21469200
29/04/2015,225.591003,227.039993,223.429993,225.807999,3.61,18936500
30/04/2015,225.692993,239.563004,224.992996,236.145004,14.570008,33818600
1/05/2015,235.938995,238.966003,232.078995,232.078995,6.887008,18815300
2/05/2015,232.341003,235.727005,232.341003,234.929993,3.386002,12535500
3/05/2015,234.880005,243.240005,234.082993,240.358002,9.157012,18494100
4/05/2015,240.356003,242.638,237.809998,239.018005,4.828002,21223400
5/05/2015,238.852005,239.203995,232.054001,236.121002,7.149994,23929100
6/05/2015,236.248993,236.453995,229.231003,229.781998,7.222992,29587200
7/05/2015,229.662003,239.104996,228.572998,237.334,10.531998,29064400
8/05/2015,237.203995,246.274994,236.274002,243.863007,10.000992,27445500
9/05/2015,243.768997,247.804001,239.639008,241.832001,8.164993,19790500
10/05/2015,241.729004,244.067993,238.848999,240.296005,5.218994,15019100
11/05/2015,240.298996,244.270004,239.376007,242.158005,4.893997,20892300
12/05/2015,242.145004,242.880997,240.098999,241.112,2.781998,19282600
13/05/2015,241.397995,243.703995,235.044998,236.376999,8.658997,27180100
14/05/2015,236.214005,237.798996,234.057007,236.929001,3.741989,24413700
15/05/2015,236.955002,238.753006,236.794998,237.604996,1.958008,16329400
16/05/2015,237.643997,237.697006,235.294998,236.153,2.402008,11089700
17/05/2015,236.009995,238.024994,236.009995,236.802002,2.014999,11134300
18/05/2015,236.886993,237.210007,232.460007,233.128006,4.75,16780300
19/05/2015,233.037003,234.151001,231.817001,231.947006,2.334,14241900
20/05/2015,231.889999,234.682999,231.841995,234.018005,2.841004,15499400
21/05/2015,234.016006,236.242004,233.835007,235.343994,2.406997,15108900
22/05/2015,235.320999,240.968994,235.059998,240.348007,5.908996,27003000
23/05/2015,240.285995,241.024994,238.690994,238.871994,2.334,14605000
24/05/2015,238.975998,241.977997,238.811005,240.953003,3.166992,11508000
25/05/2015,240.927002,241.020996,236.636993,237.110001,4.384003,14423900
26/05/2015,237.104004,238.242004,235.692001,237.115997,2.550003,16425000
27/05/2015,237.065002,238.636002,236.695007,237.283005,1.940995,18837000
28/05/2015,237.257004,237.824005,236.651993,237.408005,1.172012,13829600
29/05/2015,237.376999,237.522003,235.731003,237.095993,1.791,14805000
30/05/2015,237.091995,237.093002,232.046005,233.345001,5.046997,14098600
31/05/2015,233.134995,233.251999,229.542007,230.190002,3.709992,14730800
1/06/2015,230.233002,231.712997,221.296005,222.925995,10.416992,26090500
2/06/2015,222.893997,226.416,222.419006,225.802994,3.996994,20459000
3/06/2015,225.735992,227.404007,223.929993,225.873993,3.474014,17752400
4/06/2015,225.772003,226.580994,224.054001,224.324005,2.526993,14728100
5/06/2015,224.154007,225.968002,223.179001,224.951996,2.789001,18056500
6/06/2015,225.005005,225.718994,224.378998,225.619003,1.339996,11131500
7/06/2015,225.595993,226.194,222.651993,222.880997,3.542007,13318400
8/06/2015,222.878998,229.464005,222.839005,228.488998,6.625,23378400
9/06/2015,228.537994,230.953995,227.929001,229.048004,3.024994,28353100
10/06/2015,228.994995,229.781998,228.009995,228.802994,1.772003,15904800
11/06/2015,228.854996,230.287003,228.766998,229.705002,1.520005,14416000
12/06/2015,229.705002,231.057007,229.313004,229.981995,1.744003,14017700
13/06/2015,229.919998,232.651993,229.210007,232.401993,3.441986,13305300
14/06/2015,232.442001,234.858002,232.003998,233.542999,2.854004,12165900
15/06/2015,233.421997,237.835999,233.421997,236.822998,4.414002,19912100
16/06/2015,236.764999,251.742004,236.121994,250.895004,15.62001,41612000
17/06/2015,250.822998,256.852997,246.475998,249.283997,10.376999,43858400
18/06/2015,249.427994,252.108002,244.126999,249.007004,7.981003,30980200
